Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
62;41.6;40.9066666666667;35.205298013245;34.4238410596027;81.1125827814569;41.1733333333333;42.0202702702703;83.6712328767123;41.5945945945946;97.0215837763408;180.692816653053;0;23.4363627688797;65.0309573634743;18.1582318257149;25.0344916098307;67.054761880101;16.9857786604395;Nodes;=62
63;41.8306451612903;40.508064516129;35;34.3548387096774;90.9838709677419;41.1382113821138;42.4344262295082;93.1404958677686;41.7355371900826;105.614101472067;198.754597339836;0;21.4482977549274;63.18383494501;20.2872394351553;25.5304651575875;67.9648913870957;16.9039610719207;Nodes;=63
64;40.396694214876;39.8166666666667;34.5371900826446;33.65;71.6198347107438;40.4380165289256;40.396694214876;71.6198347107438;40.4380165289256;76.2163867111646;147.836221421908;0;23.3216253585892;63.7596418875148;17.1163911703364;28.1438053053413;68.5404995202173;12.2528889095348;Nodes;=64
65;43.7727272727273;43.5779816513761;38.4;37.9;93.1;44.2272727272727;44.8691588785047;96.3490566037736;45.3177570093458;109.63420064689;205.983257250663;0;29.1889091533589;74.5066661627047;16.1288478559869;32.5202394087418;77.3893982872464;12.3489194697629;Nodes;=65
66;45.4183673469388;44.4489795918367;38.3469387755102;37.6020408163265;79.234693877551;45.7142857142857;45.8144329896907;79.9690721649485;46.1546391752577;72.4593928820722;152.428465047021;7.50967928287631;26.9827646402081;73.1374038154659;19.1718745350496;31.1024315182686;76.9168645079593;14.7120014714221;Nodes;=66
67;44.1683168316832;44.5445544554455;37.2574257425743;36.950495049505;87.8217821782178;43.7128712871287;45.7422680412371;91.1134020618557;45.2268041237113;96.0376311106593;187.151033172515;0;25.3757204966017;70.602524620313;19.8510836271097;29.1877542815476;74.9300223227847;16.5545137596895;Nodes;=67
68;47.989010989011;47.1208791208791;40.8351648351648;39.7472527472527;83.9340659340659;47.1222222222222;48.4777777777778;85.7977528089888;47.6067415730337;80.0464609085477;165.844213717536;5.75129190044103;25.2539906736306;72.8607322466643;22.3527508994031;27.7711838809062;76.248961658684;20.7065938968716;Nodes;=68
69;45.7023809523809;45.7023809523809;38.6309523809524;37.5714285714286;87.9642857142857;46.1666666666667;47.7125;93.2025316455696;48.2125;87.9958302839104;181.19836192948;5.20670136165927;28.6315280544748;76.8440280544748;19.5809719455252;32.0924504071336;79.8049504071336;15.6200495928664;Nodes;=69
70;51.3456790123457;50.3625;42.2592592592593;41.3950617283951;90.3827160493827;50.962962962963;51.925;93.7820512820513;51.5375;99.9312292666841;193.713280548735;0;26.3361635903605;77.8736635903605;25.2013364096395;27.9112665032278;79.8362665032278;24.0137334967722;Nodes;=70
71;50.021978021978;49.3076923076923;41.7582417582418;40.9666666666667;88.3736263736264;49.3406593406593;50.9325842696629;92.2298850574713;50.247191011236;99.5260514159572;191.755936473428;0;25.0078537204162;75.2550447316522;25.2393372908197;27.078473923026;78.0110581926889;23.8541103466369;Nodes;=71
72;48.9120879120879;48.3444444444444;41.6847826086956;40.6195652173913;80.7065217391304;49.4666666666667;49.752808988764;84.9885057471264;50.3409090909091;83.3106395188728;168.299145265999;1.67786622825362;25.1249229946261;75.4658320855352;25.2159860962829;24.2205428790769;73.973351867841;25.5322661096871;Nodes;=72
73;42.6071428571429;43.4880952380952;37.0588235294118;36.2117647058824;74.4;44.7738095238095;42.6071428571429;75.2857142857143;44.7738095238095;77.4494893973962;152.735203683111;0;19.9471296304356;64.7209391542451;24.8266798933739;21.976601788196;64.5837446453389;20.6305410689468;Nodes;=73
